type,db_key,physical_label,x_mm,y_mm,notes
source,s1,S1,-65,0,
source,s2,S2,-15,0,
source,s3,S3,40,0,
source,s4,S4,-40,25,
source,s5,S5,15,25,
source,s6,S6,65,25,
source,s7,S7,-15,73,
source,s8,S8,40,73,
short_det,d1,D1/LP6,65,15,
short_det,d11,D11/LP4,-40,15,
short_det,d12,D12/LP2,-15,8,
short_det,d14,D14/LP5,15,15,
short_det,d15,D15/LP3,40,8,
short_det,d2,D2/LP8,40,65,
short_det,d5,D5/LP7,-15,65,
short_det,d9,D9/LP6,-65,8,
long_det,d10,D10,-40,0,
long_det,d13,D13,15,0,
long_det,d16,D16,65,0,
long_det,d3,D3,40,25,
long_det,d4,D4,15,73,
long_det,d6,D6,-15,25,
long_det,d7,D7,-40,73,
long_det,d8,D8,-65,25,
